#{"t_start": 1784572920.7339628, "env_id": "BipedalWalker-v3"}
r,l,t,avg_angle,avg_angular_velocity,avg_height_error,total_x_progress,episode_steps
-264.938203,81,3.061416,0.474,0.861,0.436,-0.47,81
-2.507668,988,20.642978,0.169,0.543,0.339,84.08,988
-69.285781,578,31.149613,0.11,0.736,0.347,46.39,578
-231.085429,342,37.336939,0.237,0.676,0.331,25.29,342
-394.997642,352,43.995349,0.331,1.022,0.343,24.92,352
170.488528,986,62.235085,0.102,0.573,0.378,84.09,986
-140.469116,322,68.16565,0.139,0.586,0.295,21.46,322
222.508504,1120,92.554486,0.078,0.46,0.322,84.08,1120
243.22984,1079,137.775504,0.075,0.482,0.326,84.08,1079
-254.844633,49,138.868749,0.595,2.304,0.48,-1.02,49
-193.516654,47,140.11311,0.337,1.422,0.479,-0.75,47
-187.696283,70,141.727122,0.159,1.3,0.345,-0.6,70
-194.771269,114,144.924134,0.247,0.901,0.259,4.44,114
-204.711207,79,146.862089,0.249,1.108,0.782,1.1,79
-156.80326,123,149.848159,0.207,0.78,0.31,7.66,123
-180.14401,73,151.414863,0.217,1.27,0.537,1.97,73
-141.842489,92,153.598993,0.167,0.799,0.526,5.37,92
460.816945,933,186.301621,0.032,0.409,0.339,84.0,933
466.197386,898,221.335474,0.04,0.403,0.319,84.01,898
450.961527,943,253.120011,0.036,0.381,0.37,84.08,943
470.57142,889,276.147673,0.036,0.4,0.364,84.05,889
-192.687346,146,282.445497,0.223,0.88,0.264,7.72,146
466.033282,887,313.212032,0.044,0.386,0.314,84.02,887
426.92115,846,344.352235,0.059,0.399,0.358,84.09,846
-126.916614,213,349.263636,0.172,0.555,0.282,16.14,213
100.879045,503,364.427282,0.069,0.449,0.323,46.87,503
495.794053,837,395.427631,0.039,0.376,0.35,84.04,837
440.970317,881,417.093085,0.042,0.379,0.447,84.11,881
493.200366,899,436.797256,0.037,0.358,0.297,84.03,899
-128.898792,111,439.149298,0.104,0.749,0.439,6.0,111
-14.536491,441,450.656947,0.103,0.504,0.247,36.58,441
135.033451,535,463.87297,0.057,0.418,0.338,49.72,535
462.367367,866,481.704588,0.042,0.392,0.383,84.0,866
531.313424,867,503.753655,0.023,0.343,0.354,84.04,867
527.551946,852,528.793182,0.026,0.355,0.356,84.08,852
526.130307,849,548.310055,0.027,0.355,0.352,84.05,849
532.467507,853,566.100052,0.027,0.349,0.339,84.1,853
255.05534,687,584.047896,0.049,0.396,0.342,66.78,687
533.933195,866,601.76259,0.023,0.342,0.353,84.01,866
302.775192,729,616.02982,0.049,0.456,0.374,75.33,729
516.233286,820,632.276378,0.03,0.369,0.396,84.09,820
-150.820605,71,633.917004,0.133,0.794,0.613,1.76,71
-152.18391,58,635.259309,0.168,1.195,0.488,1.76,58
-184.493694,106,637.480522,0.143,0.918,0.575,2.37,106
-158.27158,66,638.784124,0.159,0.589,0.616,0.71,66
-143.662564,67,640.166742,0.12,1.013,0.596,2.23,67
-200.496137,177,643.606541,0.091,0.542,0.535,2.94,177
-173.218327,131,646.256481,0.155,0.757,0.504,5.3,131
241.646408,739,660.759858,0.072,0.469,0.362,75.2,739
511.03024,814,676.459317,0.031,0.339,0.441,84.09,814
541.454786,823,693.30725,0.027,0.331,0.349,84.06,823
132.871324,470,703.118946,0.068,0.382,0.346,47.32,470
276.802187,737,717.756855,0.07,0.432,0.311,76.14,737
545.863382,803,733.394215,0.024,0.356,0.371,84.01,803
559.961469,819,749.695111,0.024,0.337,0.312,84.04,819
549.861179,820,767.059395,0.024,0.352,0.34,84.04,820
285.087901,708,780.949149,0.057,0.425,0.339,72.98,708
558.269804,824,796.741696,0.023,0.331,0.325,84.01,824
572.843946,810,813.025848,0.021,0.333,0.307,84.07,810
556.269198,814,835.376254,0.022,0.346,0.35,84.1,814
550.401603,819,853.162607,0.024,0.36,0.327,84.07,819
556.017079,814,869.305797,0.023,0.349,0.329,84.04,814
541.22004,833,887.048408,0.024,0.343,0.353,84.02,833
533.969745,828,902.887352,0.028,0.375,0.32,84.04,828
552.117042,832,919.425787,0.027,0.361,0.272,84.06,832
553.33523,812,935.011432,0.023,0.367,0.333,84.11,812
540.032744,817,951.626581,0.023,0.358,0.385,84.06,817
-121.268806,101,953.56076,0.063,0.647,0.473,4.41,101
553.987607,820,969.512383,0.024,0.385,0.287,84.03,820
572.529999,816,993.350471,0.021,0.351,0.28,84.07,816
567.815599,808,1012.803501,0.023,0.359,0.29,84.09,808
546.754295,817,1029.14601,0.025,0.368,0.322,84.03,817
559.50985,805,1046.199621,0.022,0.356,0.326,84.01,805
570.596378,788,1064.583543,0.023,0.359,0.307,84.04,788
562.697715,809,1097.597537,0.022,0.348,0.32,84.04,809
573.632105,794,1128.790553,0.022,0.333,0.317,84.08,794
572.055689,786,1153.83126,0.022,0.351,0.316,84.04,786
