timestep,reward,progress_reward,posture_reward,energy_penalty,terminal_reward,x_position,angle,y_position,velocity_x,velocity_y
0,-0.24152275919914246,-0.0778352419535319,-0.08278849418275058,-0.08089903,0,4.645960330963135,-0.01930505968630314,5.712967395782471,-0.22994263470172882,-0.1700524538755417
1,-0.0974082499742508,-0.0036056836446126304,-0.014153653755784035,-0.07964891,0,4.64512825012207,-0.022135790437459946,5.705678462982178,-0.04455418512225151,-0.35682204365730286
2,-0.07519223541021347,-0.006279468536376953,-0.01309167593717575,-0.05582109,0,4.643679141998291,-0.024754125624895096,5.706508636474609,-0.06285881251096725,0.03663512319326401
3,0.012674972414970398,0.003281275431315104,0.05532992072403431,-0.045936223,0,4.644436359405518,-0.013688141480088234,5.7083563804626465,0.03874139487743378,0.0839681476354599
4,-0.052387673407793045,0.01758416493733724,-0.011503668501973152,-0.05846817,0,4.648494243621826,0.015988875180482864,5.716994762420654,0.209086611866951,0.40470385551452637
5,-0.2712717056274414,0.03518072764078776,-0.2639237605035305,-0.042528667,0,4.656612873077393,0.06877362728118896,5.730399131774902,0.4218863844871521,0.620071291923523
6,-0.304923951625824,0.04069979985555013,-0.26695139706134796,-0.07867234,0,4.6660051345825195,0.12216390669345856,5.742716312408447,0.48696982860565186,0.5663545727729797
7,-0.29078710079193115,0.040809313456217446,-0.24156838655471802,-0.090028025,0,4.675422668457031,0.17047758400440216,5.760025978088379,0.4888291656970978,0.8215302228927612
8,-0.25626206398010254,0.040030320485432945,-0.213996022939682,-0.082296364,0,4.6846604347229,0.21327678859233856,5.787569046020508,0.47315946221351624,1.2832943201065063
9,-0.23081225156784058,0.04113578796386719,-0.19351430237293243,-0.078433745,0,4.694153308868408,0.25197964906692505,5.817263603210449,0.4917773902416229,1.456892490386963
10,-0.2082536518573761,0.04103247324625651,-0.17287284135818481,-0.07641329,0,4.703622341156006,0.286554217338562,5.844470024108887,0.49040886759757996,1.3361586332321167
11,-0.18814361095428467,0.03809420267740885,-0.15166640281677246,-0.07457141,0,4.712413311004639,0.3168874979019165,5.8671064376831055,0.45479467511177063,1.1137772798538208
12,-0.18392863869667053,0.03748671213785807,-0.1466730237007141,-0.074742325,0,4.72106409072876,0.3462221026420593,5.885242938995361,0.4483238458633423,0.8907216787338257
13,-0.0817333459854126,0.013110637664794922,-0.04009813070297241,-0.05474585,0,4.724089622497559,0.3542417287826538,5.898355007171631,0.1553884595632553,0.6570290327072144
14,-0.08704667538404465,0.021793206532796223,-0.08148699998855591,-0.027352879,0,4.729118824005127,0.370539128780365,5.907228469848633,0.2594424784183502,0.44014889001846313
15,-0.10215229541063309,0.020038922627766926,-0.06396353244781494,-0.058227684,0,4.733743190765381,0.383331835269928,5.911427974700928,0.2345491647720337,0.21685364842414856
