Step,Eval_Mean_Return
20000,-23.48
40000,-25.25
60000,-28.0
80000,-87.01
100000,-64.51
120000,-97.1
140000,45.17
160000,-9.27
180000,113.66
200000,132.19
220000,154.53
240000,89.51
260000,169.6
280000,181.62
300000,180.49
320000,184.13
340000,100.05
360000,195.07
380000,170.59
400000,195.77
420000,199.64
440000,125.32
460000,115.95
480000,94.4
500000,98.22
520000,148.73
540000,144.7
560000,190.4
580000,126.76
600000,154.64
620000,144.81
640000,148.33
660000,160.39
680000,135.55
700000,212.04
720000,169.79
740000,225.11
760000,221.87
780000,181.9
800000,224.06
820000,223.47
840000,223.2
860000,223.54
880000,224.63
900000,221.96
920000,228.8
940000,214.23
960000,221.42
980000,149.22
1000000,208.97
1020000,167.3
1040000,169.28
1060000,231.93
1080000,222.42
1100000,229.04
1120000,226.27
1140000,178.3
1160000,218.77
1180000,176.64
1200000,212.57
1220000,189.19
