Update,Reward
1,-652.2379760742188
2,-215.08770751953125
3,-409.1144104003906
4,-308.6124267578125
5,-215.59564208984375
6,-410.4261474609375
7,-202.83218383789062
8,-387.6987609863281
9,-477.56719970703125
10,-205.23049926757812
11,-294.5616455078125
12,-182.47677612304688
13,-278.1460266113281
14,-178.93807983398438
15,-183.26559448242188
16,-227.86395263671875
17,-235.544921875
18,-167.2866668701172
19,-292.4637756347656
20,-169.30223083496094
21,-184.92807006835938
22,-179.2969512939453
23,-156.72607421875
24,-172.38140869140625
25,-229.97994995117188
26,-142.74691772460938
27,-134.9117889404297
28,-109.44773864746094
29,-107.32118225097656
30,-120.81792449951172
31,-85.53350830078125
32,-167.869140625
33,-88.93663787841797
34,-62.203887939453125
35,-54.48478698730469
36,-66.52072143554688
37,-42.8436393737793
38,-43.645774841308594
39,-28.972572326660156
40,-102.38710021972656
41,-85.0687255859375
42,13.928983688354492
43,27.023710250854492
44,-70.45296478271484
45,-82.39527130126953
46,2.531545639038086
47,-74.24839782714844
48,-76.84283447265625
49,-126.9457778930664
50,68.64813995361328
51,63.5869140625
52,26.70709228515625
53,70.04246520996094
54,-34.60435485839844
55,75.59989929199219
56,-37.3060417175293
57,96.92819213867188
58,83.83992767333984
59,93.85012817382812
60,102.66629028320312
61,-37.117225646972656
62,124.08704376220703
63,129.1683807373047
64,121.39129638671875
65,148.55113220214844
66,58.612571716308594
67,147.38934326171875
68,138.78713989257812
69,166.39105224609375
70,150.343505859375
71,166.89944458007812
72,159.20462036132812
73,166.17430114746094
74,157.04168701171875
75,143.4676513671875
76,150.26797485351562
77,140.79266357421875
78,64.01026153564453
79,167.1787109375
80,136.37225341796875
81,124.7378158569336
82,118.89256286621094
83,94.79779815673828
84,154.26495361328125
85,144.3784637451172
86,145.8026123046875
87,146.71536254882812
88,163.1980438232422
89,58.5584716796875
90,-181.24356079101562
91,150.3907470703125
92,29.857044219970703
93,49.56025695800781
94,159.19361877441406
95,146.05447387695312
96,166.05215454101562
97,145.150146484375
98,157.64968872070312
99,149.67132568359375
100,-154.31228637695312
101,71.37498474121094
102,163.62734985351562
103,156.31134033203125
104,171.01409912109375
105,169.8336944580078
106,172.1644287109375
107,178.29298400878906
108,177.41824340820312
109,55.44615936279297
110,-59.693328857421875
111,75.95075988769531
112,177.05697631835938
113,174.76556396484375
114,160.7418975830078
115,169.67984008789062
116,180.850341796875
117,63.19758987426758
118,153.09356689453125
119,158.53524780273438
120,172.49147033691406
121,38.95075225830078
122,50.440391540527344
123,-67.15121459960938
124,156.55291748046875
125,169.59710693359375
126,165.0619354248047
127,81.91490173339844
128,184.71484375
129,175.08331298828125
130,172.26840209960938
131,58.84910202026367
132,173.85745239257812
133,160.19827270507812
134,193.9725341796875
135,170.36410522460938
136,166.28306579589844
137,79.14131927490234
138,184.1130828857422
139,161.07339477539062
140,65.3832778930664
141,182.5128173828125
142,68.45772552490234
143,193.7801513671875
144,175.78201293945312
145,145.64125061035156
146,194.1488037109375
147,177.08114624023438
148,182.809814453125
149,176.1170196533203
150,164.91384887695312
151,173.78855895996094
152,110.31350708007812
153,185.63717651367188
154,180.050537109375
155,168.16806030273438
156,179.88327026367188
157,185.62057495117188
158,186.5211181640625
159,184.85821533203125
160,187.85107421875
161,185.2919158935547
162,178.88812255859375
163,173.1199493408203
164,168.2366180419922
165,191.28443908691406
166,194.4628448486328
167,189.28610229492188
168,168.97195434570312
169,168.74932861328125
170,83.98332214355469
171,86.06953430175781
172,89.9876708984375
173,203.97235107421875
174,187.32752990722656
175,76.78096008300781
176,190.1168212890625
177,73.84192657470703
178,81.13746643066406
179,195.18177795410156
180,178.07415771484375
181,184.76109313964844
182,88.73722076416016
183,194.3495330810547
184,169.599365234375
185,99.67530059814453
186,71.35043334960938
187,199.60064697265625
188,160.17938232421875
189,211.07469177246094
190,173.700439453125
191,175.29953002929688
192,186.36366271972656
193,196.33644104003906
194,189.75296020507812
195,95.28347778320312
196,190.70587158203125
197,204.472412109375
198,137.48471069335938
199,204.3245849609375
200,164.14585876464844
201,160.54795837402344
202,167.21725463867188
203,186.5342254638672
204,189.80841064453125
205,202.2092742919922
206,183.64816284179688
207,215.8685302734375
208,203.02207946777344
209,203.6878204345703
210,190.60531616210938
211,76.1136245727539
212,203.56414794921875
213,165.5201873779297
214,56.132965087890625
215,197.2032012939453
216,57.59222412109375
217,72.19532775878906
218,186.3270721435547
219,188.07374572753906
220,193.43646240234375
221,-152.68814086914062
222,200.74993896484375
223,216.67153930664062
224,106.30814361572266
225,188.7774658203125
226,210.99244689941406
227,192.23851013183594
228,197.4307861328125
229,-11.297374725341797
230,180.28741455078125
231,196.05177307128906
232,181.7095947265625
233,188.688720703125
234,202.67628479003906
235,185.8611297607422
236,179.89944458007812
237,209.55178833007812
238,189.89242553710938
239,207.75950622558594
240,199.33433532714844
241,184.52523803710938
242,172.76708984375
243,209.95118713378906
244,221.62379455566406
245,202.05551147460938
246,196.58721923828125
247,215.8478546142578
248,194.5804901123047
249,208.7986602783203
250,85.18170166015625
251,179.34088134765625
252,-129.7165985107422
253,212.09469604492188
254,216.17198181152344
255,169.13134765625
256,227.77206420898438
257,90.3214340209961
258,231.1573486328125
259,215.93307495117188
260,212.20448303222656
261,205.21090698242188
262,213.22683715820312
263,91.33612060546875
264,210.51348876953125
265,184.0120849609375
266,198.91629028320312
267,186.92262268066406
268,196.0698699951172
269,205.2681884765625
270,223.67398071289062
271,202.19369506835938
272,83.10108184814453
273,214.5887451171875
274,92.76592254638672
275,89.8048095703125
276,232.36599731445312
277,85.4889907836914
