Update,Reward
1,-118.70820594337386
2,-111.37351090984859
3,-119.59062189028279
4,-115.42098144620886
5,-116.95927483494992
6,-121.53870987912293
7,-111.56722472793471
8,-112.19426483587856
9,-106.7565065642963
10,-107.392354953009
11,-103.50534783561349
12,-109.41263824561781
13,-111.79503504864662
14,-101.51866825875801
15,-102.18460455526846
16,-101.50551662867177
17,-99.98620551629918
18,-100.22556493517166
19,-100.61657035372468
20,-100.24110926287446
21,-100.68247732453958
22,-101.15563903420315
23,-99.85584880755013
24,-99.15062696901337
25,-98.22412009064483
26,-98.41034295945205
27,-96.73361925580332
28,-95.84747219065844
29,-94.9819183466549
30,-95.13274329555614
31,-93.81692209223218
32,-92.42782247696621
33,-94.05788578003016
34,-93.51900219028859
35,-91.82146826434523
36,-90.81136624923747
37,-91.05014350121483
38,-89.98914005471849
39,-89.96513895567787
40,-88.69409216998648
41,-86.49011903709648
42,-88.02514670594806
43,-87.67622655835716
44,-85.90081279227836
45,-78.33399929736649
46,-83.5624663200403
47,-82.61770692718774
48,-84.11888704528931
49,-82.12278639647029
50,-81.01063050758584
51,-74.94404880062098
52,-74.2152105172055
53,-71.48323959284299
54,-73.91103960888934
55,-72.05911584797622
56,-71.01211965736823
57,-64.16594181849689
58,-64.91953588058138
59,-43.80230449023322
60,-58.1726440538504
61,-62.35358811243609
62,-64.36020974384775
63,-58.85113683619162
64,-34.39470573290809
65,-39.963906053006205
66,-2.118170867255855
67,-33.40026884484139
68,-19.40511325822085
69,20.22196999510995
70,-14.681631933194419
71,42.069056320854244
72,-8.093619975054551
73,14.35796595785735
74,1.2663141666349056
75,40.21411656202875
76,56.74034211786898
