Update,Reward
1,-917.2322998046875
2,-1408.7109375
3,-272.6353759765625
4,-685.5533447265625
5,-581.873779296875
6,-270.9078369140625
7,-240.54412841796875
8,-123.70572662353516
9,-349.75762939453125
10,-142.3541717529297
11,-118.36936950683594
12,-136.220947265625
13,-127.9623031616211
14,-110.87451171875
15,-114.15478515625
16,-109.13941955566406
17,-106.90084838867188
18,-97.35880279541016
19,-91.09581756591797
20,-77.73074340820312
21,-69.02456665039062
22,-72.9136734008789
23,-59.43402099609375
24,-51.48448181152344
25,-40.94591522216797
26,-45.940582275390625
27,-25.83556365966797
28,-21.63204574584961
29,3.011673927307129
30,-84.2826156616211
31,-15.396059036254883
32,25.4502010345459
33,12.941041946411133
34,0.2726783752441406
35,50.99774169921875
36,49.895057678222656
37,37.11020278930664
38,63.03466796875
39,40.979469299316406
40,69.2310791015625
41,67.164306640625
42,-39.55228042602539
43,92.91641235351562
44,-16.340850830078125
45,111.99259948730469
46,96.77640533447266
47,-6.319465637207031
48,125.20050811767578
49,120.50892639160156
50,152.35745239257812
51,115.93064880371094
52,131.4488525390625
53,105.90440368652344
54,189.3743896484375
55,134.525390625
56,63.839691162109375
57,161.03895568847656
58,148.05165100097656
59,156.3793487548828
60,196.79718017578125
