Update,Reward
1,-668.5052490234375
2,-143.77236938476562
3,-1203.1671142578125
4,-348.5131530761719
5,-350.192138671875
6,-133.93850708007812
7,-127.21505737304688
8,-432.1685791015625
9,-128.14065551757812
10,-126.42366027832031
11,-124.45390319824219
12,-619.1921997070312
13,-121.12399291992188
14,-117.33287048339844
15,-208.21768188476562
16,-1581.329833984375
17,-1140.4632568359375
18,-495.7360534667969
19,-423.82769775390625
20,-193.03175354003906
21,-207.89512634277344
22,-650.3442993164062
23,-93.16967010498047
24,-942.3389892578125
25,-558.0599365234375
26,-1133.389404296875
27,-104.25924682617188
28,-306.10943603515625
29,-495.0589294433594
30,-290.33001708984375
31,-108.81687927246094
32,-204.622802734375
33,-400.06085205078125
34,-75.34174346923828
35,-90.50006103515625
36,-84.71554565429688
37,-68.3290786743164
38,-376.8546447753906
39,-139.6230010986328
40,-132.57220458984375
41,-669.716064453125
42,-57.4925422668457
43,-56.3437385559082
44,-457.916748046875
45,-35.43511199951172
46,-54.05387878417969
47,-33.51979064941406
48,-129.39373779296875
