Update 1/48 | Total Steps: 2048 | Mean Extrinsic: -668.51 | Scaled Intrinsic Added: 16.70
Update 2/48 | Total Steps: 4096 | Mean Extrinsic: -143.77 | Scaled Intrinsic Added: 32.25
Update 3/48 | Total Steps: 6144 | Mean Extrinsic: -1203.17 | Scaled Intrinsic Added: 17.11
Update 4/48 | Total Steps: 8192 | Mean Extrinsic: -348.51 | Scaled Intrinsic Added: 33.84
Update 5/48 | Total Steps: 10240 | Mean Extrinsic: -350.19 | Scaled Intrinsic Added: 27.47
Update 6/48 | Total Steps: 12288 | Mean Extrinsic: -133.94 | Scaled Intrinsic Added: 28.56
Update 7/48 | Total Steps: 14336 | Mean Extrinsic: -127.22 | Scaled Intrinsic Added: 29.66
Update 8/48 | Total Steps: 16384 | Mean Extrinsic: -432.17 | Scaled Intrinsic Added: 17.08
Update 9/48 | Total Steps: 18432 | Mean Extrinsic: -128.14 | Scaled Intrinsic Added: 29.69
Update 10/48 | Total Steps: 20480 | Mean Extrinsic: -126.42 | Scaled Intrinsic Added: 25.49
Update 11/48 | Total Steps: 22528 | Mean Extrinsic: -124.45 | Scaled Intrinsic Added: 22.81
Update 12/48 | Total Steps: 24576 | Mean Extrinsic: -619.19 | Scaled Intrinsic Added: 13.47
Update 13/48 | Total Steps: 26624 | Mean Extrinsic: -121.12 | Scaled Intrinsic Added: 28.10
Update 14/48 | Total Steps: 28672 | Mean Extrinsic: -117.33 | Scaled Intrinsic Added: 26.44
Update 15/48 | Total Steps: 30720 | Mean Extrinsic: -208.22 | Scaled Intrinsic Added: 17.80
Update 16/48 | Total Steps: 32768 | Mean Extrinsic: -1581.33 | Scaled Intrinsic Added: 12.11
Update 17/48 | Total Steps: 34816 | Mean Extrinsic: -1140.46 | Scaled Intrinsic Added: 19.42
Update 18/48 | Total Steps: 36864 | Mean Extrinsic: -495.74 | Scaled Intrinsic Added: 28.37
Update 19/48 | Total Steps: 38912 | Mean Extrinsic: -423.83 | Scaled Intrinsic Added: 22.68
Update 20/48 | Total Steps: 40960 | Mean Extrinsic: -193.03 | Scaled Intrinsic Added: 31.05
Update 21/48 | Total Steps: 43008 | Mean Extrinsic: -207.90 | Scaled Intrinsic Added: 30.33
Update 22/48 | Total Steps: 45056 | Mean Extrinsic: -650.34 | Scaled Intrinsic Added: 25.24
Update 23/48 | Total Steps: 47104 | Mean Extrinsic: -93.17 | Scaled Intrinsic Added: 31.71
Update 24/48 | Total Steps: 49152 | Mean Extrinsic: -942.34 | Scaled Intrinsic Added: 20.94
Update 25/48 | Total Steps: 51200 | Mean Extrinsic: -558.06 | Scaled Intrinsic Added: 24.66
Update 26/48 | Total Steps: 53248 | Mean Extrinsic: -1133.39 | Scaled Intrinsic Added: 22.88
Update 27/48 | Total Steps: 55296 | Mean Extrinsic: -104.26 | Scaled Intrinsic Added: 30.55
Update 28/48 | Total Steps: 57344 | Mean Extrinsic: -306.11 | Scaled Intrinsic Added: 24.21
Update 29/48 | Total Steps: 59392 | Mean Extrinsic: -495.06 | Scaled Intrinsic Added: 25.11
Update 30/48 | Total Steps: 61440 | Mean Extrinsic: -290.33 | Scaled Intrinsic Added: 26.89
Update 31/48 | Total Steps: 63488 | Mean Extrinsic: -108.82 | Scaled Intrinsic Added: 26.79
Update 32/48 | Total Steps: 65536 | Mean Extrinsic: -204.62 | Scaled Intrinsic Added: 16.80
Update 33/48 | Total Steps: 67584 | Mean Extrinsic: -400.06 | Scaled Intrinsic Added: 23.05
Update 34/48 | Total Steps: 69632 | Mean Extrinsic: -75.34 | Scaled Intrinsic Added: 26.19
Update 35/48 | Total Steps: 71680 | Mean Extrinsic: -90.50 | Scaled Intrinsic Added: 28.61
Update 36/48 | Total Steps: 73728 | Mean Extrinsic: -84.72 | Scaled Intrinsic Added: 30.12
Update 37/48 | Total Steps: 75776 | Mean Extrinsic: -68.33 | Scaled Intrinsic Added: 27.97
Update 38/48 | Total Steps: 77824 | Mean Extrinsic: -376.85 | Scaled Intrinsic Added: 18.20
Update 39/48 | Total Steps: 79872 | Mean Extrinsic: -139.62 | Scaled Intrinsic Added: 28.48
Update 40/48 | Total Steps: 81920 | Mean Extrinsic: -132.57 | Scaled Intrinsic Added: 29.11
Update 41/48 | Total Steps: 83968 | Mean Extrinsic: -669.72 | Scaled Intrinsic Added: 20.00
Update 42/48 | Total Steps: 86016 | Mean Extrinsic: -57.49 | Scaled Intrinsic Added: 27.37
Update 43/48 | Total Steps: 88064 | Mean Extrinsic: -56.34 | Scaled Intrinsic Added: 29.00
Update 44/48 | Total Steps: 90112 | Mean Extrinsic: -457.92 | Scaled Intrinsic Added: 19.42
Update 45/48 | Total Steps: 92160 | Mean Extrinsic: -35.44 | Scaled Intrinsic Added: 24.66
Update 46/48 | Total Steps: 94208 | Mean Extrinsic: -54.05 | Scaled Intrinsic Added: 25.22
Update 47/48 | Total Steps: 96256 | Mean Extrinsic: -33.52 | Scaled Intrinsic Added: 27.52
Update 48/48 | Total Steps: 98304 | Mean Extrinsic: -129.39 | Scaled Intrinsic Added: 23.27
Model saved to ppo_icm.pth
