Using device: cpu
Episode    1 | step      90 | score   -99.7 | avg-100   -99.7
Episode    2 | step    1690 | score   -93.9 | avg-100   -96.8
Episode    3 | step    1764 | score  -101.4 | avg-100   -98.3
Episode    4 | step    1849 | score  -104.9 | avg-100  -100.0
Episode    5 | step    1952 | score  -102.2 | avg-100  -100.4
Episode    6 | step    2089 | score  -102.9 | avg-100  -100.8
Episode    7 | step    3689 | score   -89.0 | avg-100   -99.1
Episode    8 | step    5289 | score   -81.1 | avg-100   -96.9
Episode    9 | step    5386 | score  -120.0 | avg-100   -99.5
Episode   10 | step    5449 | score  -115.5 | avg-100  -101.1
Episode   11 | step    5571 | score  -101.5 | avg-100  -101.1
Episode   12 | step    5642 | score  -100.3 | avg-100  -101.0
Episode   13 | step    7242 | score   -77.0 | avg-100   -99.2
Episode   14 | step    7321 | score   -99.0 | avg-100   -99.2
Episode   15 | step    7437 | score   -97.7 | avg-100   -99.1
Episode   16 | step    7517 | score  -103.2 | avg-100   -99.3
Episode   17 | step    9117 | score   -78.6 | avg-100   -98.1
Episode   18 | step   10064 | score  -144.6 | avg-100  -100.7
Episode   19 | step   10102 | score  -103.9 | avg-100  -100.9
Episode   20 | step   10148 | avg-100  -100.9 | eval  -104.3
Episode   21 | step   10218 | score  -102.1 | avg-100  -100.9
Episode   22 | step   10276 | score  -104.7 | avg-100  -101.1
Episode   23 | step   10344 | score  -109.3 | avg-100  -101.5
Episode   24 | step   10400 | score  -104.0 | avg-100  -101.6
Episode   25 | step   10446 | score  -104.5 | avg-100  -101.7
Episode   26 | step   10514 | score  -102.1 | avg-100  -101.7
Episode   27 | step   10584 | score  -101.8 | avg-100  -101.7
Episode   28 | step   10653 | score  -101.1 | avg-100  -101.7
Episode   29 | step   10707 | score  -102.6 | avg-100  -101.7
Episode   30 | step   10780 | score  -100.4 | avg-100  -101.7
Episode   31 | step   10843 | score  -101.0 | avg-100  -101.7
Episode   32 | step   10904 | score  -101.0 | avg-100  -101.6
Episode   33 | step   10972 | score  -101.1 | avg-100  -101.6
Episode   34 | step   11045 | score  -102.6 | avg-100  -101.6
Episode   35 | step   11113 | score  -101.6 | avg-100  -101.6
Episode   36 | step   11186 | score  -102.5 | avg-100  -101.7
Episode   37 | step   11258 | score  -103.7 | avg-100  -101.7
Episode   38 | step   11328 | score  -101.6 | avg-100  -101.7
Episode   39 | step   11421 | score  -104.1 | avg-100  -101.8
Episode   40 | step   11482 | avg-100  -101.8 | eval  -103.1
Episode   41 | step   11578 | score  -103.4 | avg-100  -101.8
Episode   42 | step   11623 | score  -102.4 | avg-100  -101.8
Episode   43 | step   11694 | score  -102.5 | avg-100  -101.8
Episode   44 | step   11779 | score  -103.6 | avg-100  -101.9
Episode   45 | step   11835 | score  -102.0 | avg-100  -101.9
Episode   46 | step   11901 | score  -102.0 | avg-100  -101.9
Episode   47 | step   12006 | score  -103.0 | avg-100  -101.9
Episode   48 | step   12066 | score  -102.6 | avg-100  -101.9
Episode   49 | step   12152 | score  -102.5 | avg-100  -101.9
Episode   50 | step   12214 | score  -102.7 | avg-100  -101.9
Episode   51 | step   12255 | score  -103.6 | avg-100  -102.0
Episode   52 | step   12302 | score  -102.0 | avg-100  -102.0
Episode   53 | step   12360 | score  -101.9 | avg-100  -102.0
Episode   54 | step   12416 | score  -103.2 | avg-100  -102.0
Episode   55 | step   12459 | score  -103.4 | avg-100  -102.0
Episode   56 | step   12525 | score  -102.0 | avg-100  -102.0
Episode   57 | step   12563 | score  -103.6 | avg-100  -102.1
Episode   58 | step   12615 | score  -101.5 | avg-100  -102.0
Episode   59 | step   12665 | score  -103.9 | avg-100  -102.1
Episode   60 | step   12713 | avg-100  -102.1 | eval  -110.4
Episode   61 | step   12745 | score  -109.8 | avg-100  -102.2
Episode   62 | step   12813 | score  -102.1 | avg-100  -102.2
Episode   63 | step   12892 | score   -98.8 | avg-100  -102.2
Episode   64 | step   12951 | score  -102.5 | avg-100  -102.2
Episode   65 | step   12992 | score  -102.9 | avg-100  -102.2
Episode   66 | step   13038 | score  -102.4 | avg-100  -102.2
Episode   67 | step   13096 | score  -101.9 | avg-100  -102.2
Episode   68 | step   13136 | score  -102.9 | avg-100  -102.2
Episode   69 | step   13178 | score  -102.5 | avg-100  -102.2
Episode   70 | step   13218 | score  -104.0 | avg-100  -102.2
Episode   71 | step   13260 | score  -102.5 | avg-100  -102.2
Episode   72 | step   13307 | score  -104.1 | avg-100  -102.3
Episode   73 | step   13349 | score  -103.6 | avg-100  -102.3
Episode   74 | step   13388 | score  -104.0 | avg-100  -102.3
Episode   75 | step   13455 | score  -104.0 | avg-100  -102.3
Episode   76 | step   13527 | score  -102.0 | avg-100  -102.3
Episode   77 | step   13592 | score  -102.7 | avg-100  -102.3
Episode   78 | step   13643 | score  -102.5 | avg-100  -102.3
Episode   79 | step   13688 | score  -104.1 | avg-100  -102.3
Episode   80 | step   13730 | avg-100  -102.4 | eval  -104.1
Episode   81 | step   13782 | score  -105.3 | avg-100  -102.4
Episode   82 | step   13824 | score  -102.4 | avg-100  -102.4
Episode   83 | step   13870 | score  -105.0 | avg-100  -102.4
Episode   84 | step   13932 | score  -103.3 | avg-100  -102.4
Episode   85 | step   13998 | score  -102.0 | avg-100  -102.4
Episode   86 | step   14052 | score  -104.8 | avg-100  -102.5
Episode   87 | step   14093 | score  -103.3 | avg-100  -102.5
Episode   88 | step   14155 | score  -103.8 | avg-100  -102.5
Episode   89 | step   14216 | score  -100.0 | avg-100  -102.5
Episode   90 | step   14264 | score  -104.2 | avg-100  -102.5
Episode   91 | step   14330 | score  -103.4 | avg-100  -102.5
Episode   92 | step   14401 | score  -101.9 | avg-100  -102.5
Episode   93 | step   14465 | score  -103.5 | avg-100  -102.5
Episode   94 | step   14541 | score  -100.4 | avg-100  -102.5
Episode   95 | step   14614 | score  -105.5 | avg-100  -102.5
Episode   96 | step   14672 | score  -103.6 | avg-100  -102.5
Episode   97 | step   14725 | score  -102.9 | avg-100  -102.5
Episode   98 | step   14794 | score  -103.8 | avg-100  -102.5
Episode   99 | step   14857 | score  -103.1 | avg-100  -102.5
Episode  100 | step   14911 | avg-100  -102.6 | eval  -102.3
Episode  101 | step   14995 | score  -101.2 | avg-100  -102.6
Episode  102 | step   15064 | score  -104.7 | avg-100  -102.7
Episode  103 | step   15138 | score  -101.2 | avg-100  -102.7
Episode  104 | step   15205 | score  -101.2 | avg-100  -102.6
Episode  105 | step   15279 | score  -106.0 | avg-100  -102.7
Episode  106 | step   15346 | score  -101.7 | avg-100  -102.7
Episode  107 | step   15424 | score  -105.4 | avg-100  -102.8
Episode  108 | step   15508 | score  -101.2 | avg-100  -103.0
Episode  109 | step   15982 | score  -107.9 | avg-100  -102.9
Episode  110 | step   16053 | score  -105.4 | avg-100  -102.8
Episode  111 | step   16235 | score  -106.7 | avg-100  -102.9
Episode  112 | step   16361 | score  -100.2 | avg-100  -102.9
Episode  113 | step   16436 | score  -100.6 | avg-100  -103.1
Episode  114 | step   16594 | score  -107.9 | avg-100  -103.2
Episode  115 | step   16720 | score  -103.5 | avg-100  -103.2
Episode  116 | step   16917 | score  -100.6 | avg-100  -103.2
Episode  117 | step   18517 | score  -102.6 | avg-100  -103.5
Episode  118 | step   18595 | score  -100.8 | avg-100  -103.0
Episode  119 | step   18678 | score  -101.6 | avg-100  -103.0
Episode  120 | step   18741 | avg-100  -103.0 | eval  -101.4
Episode  121 | step   18949 | score  -117.7 | avg-100  -103.1
Episode  122 | step   19065 | score  -104.5 | avg-100  -103.1
Episode  123 | step   19149 | score  -108.3 | avg-100  -103.1
Episode  124 | step   19213 | score  -101.6 | avg-100  -103.1
Episode  125 | step   20813 | score  -113.0 | avg-100  -103.2
Episode  126 | step   22413 | score  -108.6 | avg-100  -103.3
Episode  127 | step   22541 | score  -114.9 | avg-100  -103.4
Episode  128 | step   24141 | score   -92.1 | avg-100  -103.3
Episode  129 | step   25741 | score  -125.9 | avg-100  -103.5
Episode  130 | step   27341 | score  -115.1 | avg-100  -103.7
Episode  131 | step   27459 | score  -126.0 | avg-100  -103.9
Episode  132 | step   29059 | score  -142.3 | avg-100  -104.3
Episode  133 | step   30212 | score  -180.6 | avg-100  -105.1
Episode  134 | step   30487 | score  -117.2 | avg-100  -105.3
Episode  135 | step   32087 | score  -139.2 | avg-100  -105.7
Episode  136 | step   32325 | score  -142.2 | avg-100  -106.0
Episode  137 | step   33129 | score  -183.6 | avg-100  -106.8
Episode  138 | step   33186 | score  -104.4 | avg-100  -106.9
Episode  139 | step   33269 | score  -107.0 | avg-100  -106.9
Episode  140 | step   33395 | avg-100  -107.0 | eval  -104.3
Episode  141 | step   33464 | score  -104.6 | avg-100  -107.0
Episode  142 | step   33548 | score  -107.1 | avg-100  -107.0
Episode  143 | step   33623 | score  -104.7 | avg-100  -107.0
Episode  144 | step   33716 | score  -103.1 | avg-100  -107.0
Episode  145 | step   33825 | score  -107.6 | avg-100  -107.1
Episode  146 | step   33908 | score  -108.0 | avg-100  -107.1
Episode  147 | step   33983 | score  -104.0 | avg-100  -107.2
Episode  148 | step   34061 | score  -102.4 | avg-100  -107.2
Episode  149 | step   34142 | score  -108.8 | avg-100  -107.2
Episode  150 | step   34238 | score  -105.3 | avg-100  -107.2
Episode  151 | step   34316 | score  -104.3 | avg-100  -107.3
Episode  152 | step   34391 | score  -103.9 | avg-100  -107.3
Episode  153 | step   34465 | score  -103.7 | avg-100  -107.3
Episode  154 | step   34535 | score  -104.3 | avg-100  -107.3
Episode  155 | step   34604 | score  -108.7 | avg-100  -107.4
Episode  156 | step   34675 | score  -101.3 | avg-100  -107.3
Episode  157 | step   34753 | score  -112.3 | avg-100  -107.4
Episode  158 | step   34821 | score  -108.4 | avg-100  -107.5
Episode  159 | step   34896 | score  -106.1 | avg-100  -107.5
Episode  160 | step   34962 | avg-100  -107.5 | eval  -103.2
